"value"
"R",0.008314
"T_ref",293.15
"C_ref",10000
"psi_fc",33
"pd",2.7
"r_md_ref",2e-04
"r_ed_ref",0.000241650959950075
"V_U_ref",1
"V_D_ref",0.15
"D_0",5.25103073225522
"k_ads_ref",0.0039
"k_des_ref",4.3e-07
"K_D_ref",180000
"K_U_ref",10
"E_V",98.1957656278982
"E_K",35.1822237428403
"E_ka",10
"E_kd",10
"E_r_md",98.1957656278982
"E_r_ed",98.1957656278982
"f_gr_ref",0.533197268822602
"f_gr_s",-0.016
"f_ep",0.00201903444475928
"f_mr",0.1
"psi_Rth",16949.861078691
"C_max",5e+05
"f_CA_bf",0.0355427513816908
"f_CA_mz",0.355302563580611
"f_CD",0.00495117372068364
"f_CE",0.00476854488230829
"f_CM",0.005
